name,category,rating,sentiment,city,lat,lng,review_count,review_avg_rating,user_ratings_total,has_review,review_length,popularity_signal
Mattancherry Palace,tourist attraction,4.2,0.904391928956497,kochi,9.9582773,76.25935079999999,5,4.8,19156,1,563,9.860423
International Tourism Police Station And Police Museum,museum,4.2,0.6858802938095664,kochi,9.955982599999995,76.2600779,5,4.0,189,1,267,5.247024
Indian Naval Maritime Museum,museum,4.5,0.8129739172315311,kochi,9.958483,76.2388503,5,4.8,5169,1,567,8.550628
Ernakulam Shiva Temple,hindu temple,4.8,0.9341192654005603,kochi,9.9685193,76.282248,5,5.0,5955,1,412,8.692154
"Cochin Cultural Centre (Kathakali, Kalaripayattu, Mohiniyattam, Bharatanatyam)",tourist attraction,4.6,0.8471993386147385,kochi,9.967498700000002,76.2449958,5,4.4,282,1,591,5.645447
St. Francis CSI Church,tourist attraction,4.3,0.9427874155382704,kochi,9.9660596,76.2408739,5,4.2,3072,1,821,8.03041
Dharmanath Jain Temple,tourist attraction,4.5,0.7843500022527397,kochi,9.9616686,76.2545252,5,4.8,1246,1,112,7.128496
Niraamaya Ayurvastra,tourist attraction,4.2,0.8349201781873999,kochi,9.9652886,76.2418855,5,5.0,82,1,360,4.418841
Vasco D'Gama Square,tourist attraction,4.3,0.9057146323564708,kochi,9.9677474,76.24132639999999,5,4.8,11778,1,427,9.374074
Cochin Thirumala Devaswom Temple,hindu temple,4.8,0.9605753146477767,kochi,9.9562441,76.25017849999999,5,5.0,2523,1,366,7.8336
Blue Marine Back Water Spot,tourist attraction,4.5,0.7542509333955038,kochi,9.9312328,76.26730409999999,5,4.0,19,1,117,2.995732
"St. Mary's Syro-Malabar Church, Palluruthy",tourist attraction,4.6,0.8785687555033793,kochi,9.9297258,76.2698807,5,4.8,231,1,110,5.446737
DRAGON HOLIDAYs,tourist attraction,0.0,0.5,kochi,9.921934,76.2628825,0,0.0,0,0,0,0.0
Dream Catcher Bridge,tourist attraction,4.4,0.6835277526782475,kochi,9.9315435,76.2778163,5,4.2,427,1,295,6.059123
Kings walk way,tourist attraction,5.0,0.8180705775980862,kochi,9.931019700000002,76.27877860000001,1,5.0,2,1,20,1.098612
Adhish villa,tourist attraction,0.0,0.5,kochi,9.916511,76.268196,0,0.0,0,0,0,0.0
ARAKKATHARA TOURIST HOME,tourist attraction,4.4,0.1948186821103684,kochi,9.9159304,76.274025,3,3.6667,9,1,13,2.302585
Kalathara kett,tourist attraction,4.1,0.6414855589414599,kochi,9.9148872,76.2597694,4,4.75,8,1,80,2.197225
BoatMen's view point,tourist attraction,4.7,0.8958181149119414,kochi,9.922634,76.249854,5,5.0,35,1,160,3.583519
Manassery Beach View Point,landmark,4.3,0.9060132586744399,kochi,9.9213794,76.2502488,5,4.4,140,1,162,4.94876
Cage Fishing Hub,tourist attraction,5.0,0.9121169849886073,kochi,9.9127443,76.2588569,5,5.0,23,1,306,3.178054
Kalathara backwater view point,tourist attraction,4.5,0.9097697317913436,kochi,9.9126295,76.25868849999999,5,4.8,134,1,508,4.905275
Jahangeer shah,tourist attraction,4.9,0.5,kochi,9.916763999999995,76.28290799999999,0,4.9,14,0,0,2.70805
"Fishing Point at Saude Beach, Kochi",tourist attraction,4.8,0.8723797547751043,kochi,9.936136,76.2448466,3,4.6667,5,1,44,1.791759
Saudi School Beach,tourist attraction,4.6,0.6469202365102085,kochi,9.9366238,76.2447239,3,4.6667,10,1,20,2.397895
Puzhayoram View,tourist attraction,0.0,0.5,kochi,9.9064365,76.27018009999999,0,0.0,0,0,0,0.0
Kuthirakoor Kari,tourist attraction,4.0,0.6343510308493352,kochi,9.9060966,76.2643342,3,4.6667,8,1,12,2.197225
Sunset Beach,tourist attraction,4.1,0.864057891285825,kochi,9.9408033,76.2433017,5,4.8,47,1,193,3.871201
Jew town,tourist attraction,4.6,0.785383628427261,kochi,9.956614000000002,76.2599153,5,4.8,1121,1,390,7.022868
JR Wave,tourist attraction,0.0,0.5,kochi,9.90498,76.2712272,0,0.0,0,0,0,0.0
