name,category,rating,review,city,lat,lng
"Mattancherry Palace","tourist attraction",4.2,"","kochi",9.958277299999999,76.25935079999999
"International Tourism Police Station And Police Museum","museum",4.2,"","kochi",9.955982599999997,76.2600779
"Indian Naval Maritime Museum","museum",4.5,"","kochi",9.958483,76.2388503
"Ernakulam Shiva Temple","hindu temple",4.8,"","kochi",9.968519299999999,76.282248
"Cochin Cultural Centre (Kathakali, Kalaripayattu, Mohiniyattam, Bharatanatyam)","tourist attraction",4.6,"","kochi",9.967498700000002,76.2449958
"St. Francis CSI Church","tourist attraction",4.3,"","kochi",9.9660596,76.2408739
"Dharmanath Jain Temple","tourist attraction",4.5,"","kochi",9.9616686,76.2545252
"Niraamaya Ayurvastra","tourist attraction",4.2,"","kochi",9.9652886,76.2418855
"Vasco D'Gama Square","tourist attraction",4.3,"","kochi",9.9677474,76.24132639999999
"Cochin Thirumala Devaswom Temple","hindu temple",4.8,"","kochi",9.9562441,76.25017849999999
"Blue Marine Back Water Spot","tourist attraction",4.5,"","kochi",9.9312328,76.26730409999999
"St. Mary's Syro-Malabar Church, Palluruthy","tourist attraction",4.6,"","kochi",9.9297258,76.2698807
"DRAGON HOLIDAYs","tourist attraction",0,"","kochi",9.921934,76.2628825
"Dream Catcher Bridge","tourist attraction",4.4,"","kochi",9.9315435,76.2778163
"Kings walk way","tourist attraction",5,"","kochi",9.931019700000002,76.27877860000001
"Adhish villa","tourist attraction",0,"","kochi",9.916511,76.268196
"ARAKKATHARA TOURIST HOME","tourist attraction",4.4,"","kochi",9.915930399999999,76.274025
"Kalathara kett","tourist attraction",4.1,"","kochi",9.914887199999999,76.2597694
"BoatMen's view point","tourist attraction",4.7,"","kochi",9.922634,76.249854
"Manassery Beach View Point","landmark",4.3,"","kochi",9.9213794,76.2502488
"Cage Fishing Hub","tourist attraction",5,"","kochi",9.9127443,76.2588569
"Kalathara backwater view point","tourist attraction",4.5,"","kochi",9.9126295,76.25868849999999
"Jahangeer shah","tourist attraction",4.9,"","kochi",9.916763999999997,76.28290799999999
"Fishing Point at Saude Beach, Kochi","tourist attraction",4.8,"","kochi",9.936136,76.2448466
"Saudi School Beach","tourist attraction",4.6,"","kochi",9.9366238,76.2447239
"Puzhayoram View","tourist attraction",0,"","kochi",9.9064365,76.27018009999999
"Kuthirakoor Kari","tourist attraction",4,"","kochi",9.906096600000001,76.2643342
"Sunset Beach","tourist attraction",4.1,"","kochi",9.940803299999999,76.2433017
"Jew town","tourist attraction",4.6,"","kochi",9.956614000000002,76.2599153
"JR Wave","tourist attraction",0,"","kochi",9.90498,76.2712272
"Aaron Crib","tourist attraction",5,"","kochi",9.904889699999998,76.2713808
"Hyagreeve's Area","tourist attraction",0,"","kochi",9.951541599999997,76.2495113
"MATTANCHERY FERRY VIEW POINT","tourist attraction",4,"","kochi",9.957816,76.2606904
"Kochi Tuk Tuk Auto Tours & Service","tourist attraction",4.9,"","kochi",9.9576742,76.2599729
"Jesus Wall","tourist attraction",4.2,"","kochi",9.9379018,76.29482790000002
"Springfield Lake Fish Farm","tourist attraction",4.8,"","kochi",9.903366499999997,76.2639597
"Sudha Bhai Square","tourist attraction",0,"","kochi",9.938788199999998,76.29525339999999
"Oottupura art space","tourist attraction",0,"","kochi",9.9589368,76.25961389999999
"Makrimada curve","tourist attraction",0,"","kochi",9.943199199999999,76.29476989999999
"Asia's Biggest Natural Christmas Tree","tourist attraction",4.8,"","kochi",9.9494764,76.2432007
"Christmas Tree Fort Kochi","tourist attraction",4.7,"","kochi",9.9494569,76.2431495
"Church of Our Lady of Life","tourist attraction",4.6,"","kochi",9.9613402,76.2582657
"Mystery Street","tourist attraction",5,"","kochi",9.955303599999999,76.2459507
"Traveller Kerala","travel agency",4.9,"","kochi",9.9429787,76.2977512
"Dock view","tourist attraction",4.5,"","kochi",9.9629513,76.27607689999999
"Cheriyakadavu Beach","tourist attraction",4.4,"","kochi",9.899973899999997,76.25635590000002
"Amul Advertisement Board","tourist attraction",5,"","kochi",9.9529289,76.2931287
"Mangalam Travel and Tours","travel agency",4.9,"","kochi",9.9574842,76.2894307
"Amme Narayana Temple","hindu temple",4.5,"","kochi",9.957671300000001,76.2450789
"St. George Orthodox Koonan Kurish Old Syrian Church","tourist attraction",4.7,"","kochi",9.963213499999998,76.2541365
"Je Sant o Casa","tourist attraction",4.8,"","kochi",9.955785099999998,76.24111289999999
"Kodaihorse","tourist attraction",0,"","kochi",9.9579917,76.2911654
"GreenHaven Tours","tourist attraction",4.6,"","kochi",9.9599338,76.28904109999999
"Konthuruthy end","tourist attraction",4.2,"","kochi",9.9360521,76.3033319
"Mahishamudi","tourist attraction",0,"","kochi",9.9419612,76.3028517
"Babilon Tunnel","tourist attraction",0,"","kochi",9.9428865,76.30255269999999
"FORTKOCHI FTADA TUK-TUK TOURS","tourist attraction",4.6,"","kochi",9.9654338,76.2532995
"Thevara Kumbalam Backwater","tourist attraction",4.8,"","kochi",9.9253466,76.3042826
"Thevara Ferry View point","tourist attraction",4.1,"","kochi",9.9258589,76.30446839999999
"Dronacharya Relaxing Point","tourist attraction",4.4,"","kochi",9.9569257,76.23975109999999
"Chellanam Village","tourist attraction",4.3,"","kochi",9.8780784,76.26332239999999
"Sunrise Viewpoint ZM","tourist attraction",5,"","kochi",9.8901478,76.261071
"Kumbalangi Nights","tourist attraction",4.2,"","kochi",9.889747499999999,76.2616829
"Fabian Beach","tourist attraction",0,"","kochi",9.8820727,76.2607354
"Gt point","tourist attraction",3,"","kochi",9.882174799999998,76.2614559
"Kallenchery View Point","tourist attraction",4.6,"","kochi",9.894192899999998,76.27616239999999
"Kumbalanghi village tours | Things to do in Kochi","tourist attraction",4.9,"","kochi",9.8909836,76.2776183
"Kannamaly beach","tourist attraction",4.7,"","kochi",9.876670200000001,76.2611357
"Kannamaly pulimuttu Seaview point","tourist attraction",5,"","kochi",9.8749814,76.2610753
"KANNAMALY","tourist attraction",4.8,"","kochi",9.8757834,76.26400799999999
"Kallenchery Backwaters","tourist attraction",3.7,"","kochi",9.891836599999998,76.281848
"Kumbalangi View Point","tourist attraction",4.3,"","kochi",9.8877551,76.27938340000001
"Kannamaly River View Point","tourist attraction",5,"","kochi",9.873504600000002,76.2652971
"Club 14","tourist attraction",4.7,"","kochi",9.8933725,76.2877879
"Puthenthode Beach","tourist attraction",4.5,"","kochi",9.869611099999998,76.2630556
"Pallithodu beach","tourist attraction",4.2,"","kochi",9.8696135,76.26306679999999
"HALF°MOON BEACH KOCHI","tourist attraction",4.5,"","kochi",9.8695659,76.2630987
"ILLIKKAL JUNCTION","tourist attraction",4.4,"","kochi",9.8828661,76.28690370000001
"Kumbalam Thevera View Point","tourist attraction",4.4,"","kochi",9.9201328,76.3052597
"Kumbalangi Kavaru Spot","tourist attraction",4.3,"","kochi",9.873649000000002,76.284958
"KANNAMALY PUTHENTHODE BEACH ENTRY","tourist attraction",5,"","kochi",9.869678499999997,76.26630899999999
"KANNAMALY PUTHENTHODE BEACH,KOCHI","tourist attraction",5,"","kochi",9.8688035,76.2636818
"Lake view at kumbalam","tourist attraction",3.8,"","kochi",9.894799999999998,76.30757779999999
"Kumbalangi wooden bridge","tourist attraction",4.5,"","kochi",9.869375,76.278719
"Kumbalam","tourist attraction",0,"","kochi",9.902169799999998,76.3103929
"Vembanad Lake-Aroor","tourist attraction",4.3,"","kochi",9.888508399999997,76.30612579999999
"Colonel's Homestay","tourist attraction",4.3,"","kochi",9.906196699999999,76.3198875
"Tirunettoor Mahadeva Temple","hindu temple",4.8,"","kochi",9.9282436,76.31071759999999
"Vacation Designers","tourist attraction",4.9,"","kochi",9.9272829,76.31155509999999
"JT taxi service","tourist attraction",4.9,"","kochi",9.9282678,76.31451880000002
"Lake View Point","tourist attraction",4,"","kochi",9.920178000000002,76.3204038
"Nettoor Konthuruthy Kadavu","tourist attraction",0,"","kochi",9.9418829,76.3053288
"Ferry View Point","tourist attraction",4.6,"","kochi",9.9350072,76.3145418
"View point udayathumvathil","tourist attraction",4.7,"","kochi",9.9148079,76.3236617
"Selam","tourist attraction",4,"","kochi",9.878512699999998,76.3036376
"View Point","tourist attraction",4.3,"","kochi",9.9236375,76.32323889999999
"MARIMAYAM","tourist attraction",0,"","kochi",9.8795383,76.3079862
"Aryvi View Point","tourist attraction",4.4,"","kochi",9.944253999999999,76.30618270000001
"Babilon City, Makrimada","tourist attraction",0,"","kochi",9.9460274,76.3032695
"LAKE BAY CRUISES (Backwater Boating )","tourist attraction",4.2,"","kochi",9.9279015,76.3226505
"Makrimada River","tourist attraction",0,"","kochi",9.946004600000002,76.3063969
"Maradu Municipality Royal Walkway Anju Thaikal Bund Road","tourist attraction",4,"","kochi",9.9338242,76.3205067
"Indo-Portuguese Museum","tourist attraction",3.8,"","kochi",9.9620603,76.24012859999999
"Kochi Tour","travel agency",4.5,"","kochi",9.960174199999999,76.2408836
"The Sacred Lotus","tourist attraction",4.8,"","kochi",9.961341899999997,76.2382248
"Cat Paradise","tourist attraction",0,"","kochi",9.962327,76.241677
"Bishop's House, Fort Cochin","tourist attraction",4.6,"","kochi",9.962345299999999,76.23997539999999
"Peter celli street","tourist attraction",4.4,"","kochi",9.9642979,76.2416223
"Fort Kochi Beach","tourist attraction",4.3,"","kochi",9.9637158,76.23746109999999
"Vasco BigB House","tourist attraction",4.2,"","kochi",9.965899000000002,76.241478
"Big B Shooting Location","tourist attraction",4.4,"","kochi",9.966016699999999,76.2414345
"Messi’s graffiti","tourist attraction",4.7,"","kochi",9.9664542,76.2427347
"Fort Kochi","tourist attraction",5,"","kochi",9.9663674,76.24158709999999
"Fort Kochi View Point","tourist attraction",4.5,"","kochi",9.965708,76.237989
"Jail of Freedom Struggle","tourist attraction",4.3,"","kochi",9.9672431,76.24374499999999
"Vypin Tank Farm view","tourist attraction",0,"","kochi",9.966579699999999,76.2388378
"Fort Kochi Wings","tourist attraction",4.4,"","kochi",9.967367,76.24157
"Bastion Bungalow","tourist attraction",4.2,"","kochi",9.9673645,76.2412429
"Little Flower Syro-Malabar Church, Elamkulam","tourist attraction",4.6,"","kochi",9.9683774,76.30340590000002
"Lumiere Holidays( Best tour operator)","tourist attraction",4.8,"","kochi",9.9640325,76.3181014
"Sree Chimpeswary Square","tourist attraction",0,"","kochi",9.9518022,76.29941649999999
"Cholan Tours Pvt. Ltd - Cochin","tourist attraction",4.5,"","kochi",9.959762,76.2960611
"smoke spot","tourist attraction",0,"","kochi",9.9497445,76.31192329999999
"Makrimada Backwaters","tourist attraction",0,"","kochi",9.954548699999998,76.3138109
"Chinese fishingnets","tourist attraction",4.2,"","kochi",9.9546336,76.31383269999999
"Astrin view point","tourist attraction",5,"","kochi",9.931897200000002,76.3232144
"Kerala Holidays Pvt. Ltd. केरल टूर पैकेज","tourist attraction",4.7,"","kochi",9.9577232,76.31888219999999
"Kettezhuthum Kadavu","tourist attraction",4.5,"","kochi",9.931913699999999,76.3242487
"Attupuram Kadavu","tourist attraction",3.3,"","kochi",9.930814300000002,76.3250011
"Bolgatty Palace and Island Resort","tourist attraction",4.3,"","kochi",9.984202499999999,76.2672114
"National Shrine Basilica of Our Lady of Ransom - Vallarpadam","tourist attraction",4.8,"","kochi",9.9898879,76.25014159999999
"Venue of Kochi Muzhiris Bienville, DLF Aspinwall House","tourist attraction",4.5,"","kochi",9.9681377,76.2469052
"Aspinwall House","tourist attraction",4.5,"","kochi",9.968579799999999,76.24647039999999
"Night kirkk spot","tourist attraction",0,"","kochi",9.9681737,76.2432091
"Vasco da Gama Beach","tourist attraction",4.1,"","kochi",9.967668299999998,76.2408083
"Chinese Fishing Nets","tourist attraction",4.3,"","kochi",9.968395899999999,76.2422419
"Kochi Tuk Tuk heritage Tour","tourist attraction",4.9,"","kochi",9.968886200000002,76.2515615
"Vypin Walk Way","tourist attraction",4.2,"","kochi",9.9727484,76.2441553
"Fort Kochi Beach View Point","tourist attraction",4.3,"","kochi",9.972719399999999,76.2408347
"Church of Our Lady of Hope","tourist attraction",4.7,"","kochi",9.9733207,76.2432809
"Vypin Ferry and Bus stand","tourist attraction",3.7,"","kochi",9.9735383,76.2442482
"Mini Beach, Fort Vypin","tourist attraction",4.3,"","kochi",9.972867599999999,76.24033279999999
"Vypin dead end view point","tourist attraction",4.2,"","kochi",9.973912799999999,76.2446076
"Kumaranandhayogam Sri Rajarajeswary Temple","hindu temple",4.8,"","kochi",9.9759899,76.2419772
"St. Francis Xavier's Roman Catholic Church","tourist attraction",4.7,"","kochi",9.9858648,76.2943904
"Sree Murugan Temple","hindu temple",4.8,"","kochi",9.968908699999998,76.2821263
"Pollinator Garden at Subhash Chandra Bose Park","tourist attraction",4.5,"","kochi",9.9709448,76.27954199999999
"Diamond View Point","tourist attraction",4.2,"","kochi",9.974414300000001,76.26746299999999
"Subhash Bose Park","park",4.5,"","kochi",9.971507599999999,76.27941179999999
"Marine Drive Station","tourist attraction",4.5,"","kochi",9.9727164,76.2783729
"COCHIN MARINE DRIVE GATEWAY & WALKWAY","tourist attraction",4.5,"","kochi",9.9728491,76.2786103
"Marine view point","tourist attraction",4.4,"","kochi",9.9738531,76.2777761
"Marine drive kochi","tourist attraction",4.4,"","kochi",9.9752184,76.27728789999999
"Coconut Museum","museum",3.6,"","kochi",9.9697801,76.28670489999999
"Salem Mar Thoma Syrian Church, Ernakulam","tourist attraction",4.8,"","kochi",9.976814,76.2834862
"Lazza iDrive","tourist attraction",3.8,"","kochi",9.9763805,76.3180835
"Elamkulam Photo Point","tourist attraction",5,"","kochi",9.966872000000002,76.30746649999999
"Vyttila Pink Trumpet Tree - Bloom 🌸","tourist attraction",3.7,"","kochi",9.96764,76.3105011
"Ernakulam, india","tourist attraction",0,"","kochi",9.9800857,76.2759066
"MarineDriveBridge","tourist attraction",5,"","kochi",9.979816999999999,76.2751229
"Mazhavil paalam","tourist attraction",4.1,"","kochi",9.9798779,76.27504929999999
"Rainbow Hanging Bridge","tourist attraction",4.2,"","kochi",9.9799094,76.2750369
"Artville Gallery","museum",3.8,"","kochi",9.9621607,76.25741880000001
"Cochin Port Maritime Heritage Museum","museum",4.2,"","kochi",9.968968799999999,76.2610116
