name,city,shopping_score,user_ratings_total,weighted_rating,popularity_score
"Basics Life. Thrissur, Sobha City Mall",thrissur,1.0,881,4.3964,0.6097
Marks & Spencer,thrissur,1.0,95,4.2269,0.4103
Rainbow Shopping,thiruvananthapuram,1.0,3,4.2188,0.1246
Allen Solly Sobha City Mall,thrissur,1.0,37,4.2165,0.327
"Fabindia Experience Center, Kowdiar, Thiruvananthapuram",thiruvananthapuram,1.0,1119,4.212,0.6311
Lamiya Silks,kozhikode,1.0,26,4.2069,0.2963
Fashion at BigBazaar,thrissur,1.0,109,4.2022,0.4225
Baby Galaxy,thrissur,1.0,326,4.188,0.5205
Topmost,kozhikode,1.0,96,4.1583,0.4112
The New Store,kannur,1.0,680,4.1378,0.5864
Floy - Kurti Footwear Bags and Accessories,kannur,0.9978,51,4.2282,0.3552
"Van Heusen Men Clothing Store, Sobha City Mall",thrissur,0.9955,21,4.2226,0.2779
United Colors Of Benetton,kozhikode,0.994,44,4.214,0.3422
Louis Philippe - Sobha City Mall,thrissur,0.9889,55,4.2235,0.3618
The Raymond shop,kannur,0.9676,88,4.2053,0.4035
Mittayi Theruvu Kozhikode,kozhikode,0.9673,2032,4.3605,0.6847
W for Woman - Puzhakkal,thrissur,0.9611,18,4.2203,0.2647
Navin Creations – The Baptism & Holy Communion Studio,kochi,0.957,617,4.3793,0.5777
Lila - Curated Experiences,kochi,0.9514,1124,4.212,0.6315
Oud zone,kozhikode,0.9489,25,4.2234,0.2929
PVR INOX Sobha City Mall,thrissur,0.9366,20029,4.2926,0.8904
A A STORE,wayanad,0.9352,12,4.2168,0.2306
CHIRUKANDATH STORES,thrissur,0.9316,0,4.2187,0.0
SPR Perfume Museum,kochi,0.9291,275,4.301,0.5052
Sreeja Textiles,kozhikode,0.9283,10,4.2151,0.2155
Inner Shoppe,thrissur,0.9277,2,4.2195,0.0988
Supreme Bakery And Supermarket,thrissur,0.9265,278,4.1676,0.5062
Crescent Apparels,kozhikode,0.9259,19,4.2232,0.2693
"Suraaj Infocomm | Authorised Distributor for boAt, Dlink, Portronics, Kaspersky, Quick Heal,Exide, Eira,Microtek,Essel Racks",kochi,0.9254,143,4.2241,0.4467
Garggy Fascino Boutique,thrissur,0.9245,1430,4.3777,0.6532
Ethnic Weaves Boutique,thiruvananthapuram,0.9231,363,4.1851,0.5301
Aranya Natural,munnar,0.9223,107,4.2431,0.4209
Aurelia - Sobha City,thrissur,0.9214,7,4.2179,0.1869
Capital,kochi,0.9204,1,4.2191,0.0623
Edumart Academic Hypermarket,kozhikode,0.9203,1221,4.1737,0.639
Universal Traders,kozhikode,0.9201,1,4.2186,0.0623
"iMagine Sobha City Mall (Apple Authorised Reseller), Thrissur",thrissur,0.9184,2771,4.4982,0.7126
Bata Shoe Store,thiruvananthapuram,0.9167,620,4.1433,0.5781
Salin Store,kochi,0.9156,37,4.222,0.327
Dreams fancy,kannur,0.9135,4,4.2182,0.1447
Spice Villa,munnar,0.9114,22,4.2174,0.2819
Ethnic Passage,kochi,0.9047,40,4.1987,0.3338
Rajasthan Royals,kochi,0.9037,2,4.2195,0.0988
ചെറുപ്പക്കാരി CHAPPAL,kozhikode,0.9023,1,4.2186,0.0623
Sobha Stores,thrissur,0.9022,4,4.2178,0.1447
Mangalam Traders Anayara,thiruvananthapuram,0.9012,13,4.2153,0.2372
Shop 'N' Save,thiruvananthapuram,0.9011,24,4.2161,0.2893
Pepper Grey,kozhikode,0.9003,144,4.1838,0.4474
Palace Heights,thiruvananthapuram,0.8982,87,4.2262,0.4025
Supplyco Supermarket,kochi,0.8942,31,4.2108,0.3115
Cochin Shipyard Supermarket,kochi,0.8928,2739,4.3813,0.7115
iZone,kozhikode,0.8922,17,4.2219,0.2598
Gallery OED,kochi,0.8882,287,4.2414,0.509
Jockey,thrissur,0.8879,120,4.212,0.4311
Rangde Bridal Studio,thrissur,0.8869,35,4.2235,0.3221
Silky Boutique,kozhikode,0.8868,46,4.2138,0.3461
Snow White Homecare Private Limited,kochi,0.8861,1,4.2191,0.0623
Nilgiris Supermarket,thiruvananthapuram,0.8849,1183,4.1746,0.6361
Esquire Associates,thrissur,0.8842,768,4.158,0.5973
Muthukkudakal / umbrella and ladies tailoring ( Decorative Umbrellas)top umbrella dealers,kozhikode,0.8834,1,4.2191,0.0623
Data Instrument,thrissur,0.8823,6,4.2171,0.1749
Central Jail Childrens Park,thrissur,0.882,149,4.2174,0.4504
Adidas Store,thiruvananthapuram,0.8814,223,4.1867,0.4865
Margin Free Market,kannur,0.8809,8,4.2142,0.1975
New Lamzy computerized embroidery,kozhikode,0.8792,16,4.2249,0.2547
Rythm House,kozhikode,0.8776,14,4.2234,0.2434
Hue Designers and Stitch Crafts Calicut.,kozhikode,0.8744,45,4.1897,0.3442
Joyal Studio,wayanad,0.8723,54,4.2208,0.3602
National Uniform Centre,kochi,0.8712,355,4.1556,0.5281
Color House,thrissur,0.869,1467,4.1262,0.6555
"Connemara Market, Palayam",thiruvananthapuram,0.8676,7225,4.0474,0.7987
Jew town,kochi,0.8674,1121,4.3556,0.6313
Supplyco Peoples Bazar Kannur,kannur,0.8669,259,4.1821,0.4999
Vasudha Organic Bazaar,thrissur,0.8636,93,4.2134,0.4084
Wide Solutions,thrissur,0.8617,7,4.2193,0.1869
Alleppey Houseboats | Alleppey Boat House - Waves and Dales Alleppey Houseboat,alappuzha,0.8598,2133,4.4671,0.6891
"Venu's Digital Arcade, Patturaikkal",thrissur,0.8592,3795,4.5339,0.7409
"Moolans Family Mart, Palluruthy",kochi,0.857,881,4.1518,0.6097
