name,category,rating,sentiment,city,lat,lng,review_count,review_avg_rating,user_ratings_total,has_review,review_length,popularity_signal
Lalbagh Botanical Garden,tourist attraction,4.4,0.5,bengaluru,12.9494158,77.58468049999999,0,4.4,174721,0,0,12.070951
ISKCON Bangalore,hindu temple,4.7,0.5,bengaluru,13.0096643,77.5511344,0,4.7,139451,0,0,11.845476
Bengaluru Palace,tourist attraction,4.2,0.5,bengaluru,13.0035068,77.5890953,0,4.2,98628,0,0,11.499121
SkyJumper Amusement Park - Garuda Mall | Laser Tag | VR Games | Soft Play | Birthday Parties | School Trips | Corporate Party,amusement park,4.8,0.5,bengaluru,12.9701829,77.60993719999999,0,4.8,39011,0,0,10.571625
Tipu Sultan's Summer Palace,tourist attraction,3.9,0.5,bengaluru,12.9593513,77.5736415,0,3.9,31895,0,0,10.370236
Bengaluru Fort,tourist attraction,4.0,0.5,bengaluru,12.9628018,77.5758862,0,4.0,26547,0,0,10.18671
Sri Karya Siddhi Anjaneya Temple,hindu temple,4.9,0.5,bengaluru,12.9386187,77.54323900000001,0,4.9,26278,0,0,10.176525
Bugle Rock Park,park,4.5,0.5,bengaluru,12.9427052,77.5694287,0,4.5,25708,0,0,10.154596
Ragigudda Sri Prasanna Anjaneya Swamy Temple,hindu temple,4.8,0.5,bengaluru,12.9142864,77.593172,0,4.8,22147,0,0,10.005502
Snow City Bengaluru,tourist attraction,4.1,0.5,bengaluru,13.0057596,77.59206089999999,0,4.1,22152,0,0,10.005728
Karnataka Chitrakala Parishath,art gallery,4.5,0.5,bengaluru,12.9893213,77.5807437,0,4.5,21355,0,0,9.969088
Freedom Park,park,4.2,0.5,bengaluru,12.9779159,77.58218839999999,0,4.2,19865,0,0,9.896765
"St. Mary's Basilica, Bengaluru",tourist attraction,4.6,0.5,bengaluru,12.9843925,77.6044189,0,4.6,17427,0,0,9.765833
Shrungagiri Sri Shanmukha Swami Gudi,hindu temple,4.7,0.5,bengaluru,12.9124567,77.5289414,0,4.7,17387,0,0,9.763536
Visvesvaraya Industrial & Technological Museum,tourist attraction,4.6,0.5,bengaluru,12.9751593,77.59641979999999,0,4.6,16394,0,0,9.704732
M.N. Krishna Rao Park,park,4.5,0.5,bengaluru,12.9418183,77.5752478,0,4.5,14063,0,0,9.551374
Shri Gavi Gangadhareshwara Swamy Temple,hindu temple,4.7,0.5,bengaluru,12.9480823,77.56286639999999,0,4.7,12661,0,0,9.446361
Shri Someshwara Swamy Temple (Halasuru),hindu temple,4.7,0.5,bengaluru,12.9755527,77.6239473,0,4.7,12472,0,0,9.431322
Mini Forest,park,4.4,0.5,bengaluru,12.9116185,77.5986986,0,4.4,11270,0,0,9.329988
Indira Gandhi Musical Fountain Park,park,4.1,0.5,bengaluru,12.9853733,77.59168389999999,0,4.1,11106,0,0,9.315331
Breakout® Escape Rooms | Koramangala | #1 Escape Room in Bangalore,tourist attraction,4.7,0.5,bengaluru,12.938395,77.63059950000002,0,4.7,10324,0,0,9.242323
Namma Bengaluru Aquarium,aquarium,3.9,0.5,bengaluru,12.9765148,77.5985397,0,3.9,9674,0,0,9.177301
"Varaprada Sri Venkateshwara Temple, Devagiri",hindu temple,4.8,0.5,bengaluru,12.9261498,77.5675473,0,4.8,7232,0,0,8.886409
Tripper Trails- The most loved travel company | Best Travel Agency in Bangalore,travel agency,4.9,0.5,bengaluru,12.9351188,77.54752169999999,0,4.9,6307,0,0,8.749574
Sri Dakshinamukha Nandi Tirtha Kalyaani Kshetra,hindu temple,4.8,0.5,bengaluru,13.004398,77.5721844,0,4.8,6126,0,0,8.720461
St Patrick's Church,tourist attraction,4.7,0.5,bengaluru,12.9700658,77.60594429999999,0,4.7,5667,0,0,8.642592
Ashoka Pillar Monument,tourist attraction,4.5,0.5,bengaluru,12.9437675,77.5852705,0,4.5,5410,0,0,8.596189
Tavarekere Park,park,4.2,0.5,bengaluru,12.928664,77.6023044,0,4.2,5200,0,0,8.556606
Jawaharlal Nehru Planetarium,tourist attraction,4.4,0.5,bengaluru,12.9848665,77.5896341,0,4.4,5142,0,0,8.545392
Jayamahal Park (Bengaluru),park,4.3,0.5,bengaluru,13.001197,77.5977297,0,4.3,4575,0,0,8.428581
Om Shri Gangamma Devi Temple,hindu temple,4.8,0.5,bengaluru,13.0044463,77.5720161,0,4.8,4298,0,0,8.366138
St Francis Xavier's Cathedral,tourist attraction,4.6,0.5,bengaluru,12.9925965,77.6112263,0,4.6,4128,0,0,8.325791
