name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total,interest_scores_json,interest_tags,interest_tag_count,interest_tags_json,intent_scores_json,intent_tags,intent_tag_count,intent_tags_json,clean_interest_tags,clean_interest_tag_count,clean_interest_tags_json,clean_intent_tags,clean_intent_tag_count,clean_intent_tags_json
Lalbagh Botanical Garden,tourist attraction,tourist_attraction | point_of_interest | establishment,4.4,,bengaluru,12.9494158,77.58468049999999,0,4.4,174721,{},,0,[],{},,0,[],,0,[],,0,[]
ISKCON Bangalore,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,13.0096643,77.5511344,0,4.7,139451,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Bengaluru Palace,tourist attraction,tourist_attraction | museum | point_of_interest | establishment,4.2,,bengaluru,13.0035068,77.5890953,0,4.2,98628,"{""history"": 0.74, ""art"": 0.51}",art | history,2,"[""art"", ""history""]","{""museum visit"": 0.67, ""heritage site"": 0.67}",heritage site | museum visit,2,"[""heritage site"", ""museum visit""]",art | history,2,"[""art"", ""history""]",heritage site | museum visit,2,"[""heritage site"", ""museum visit""]"
SkyJumper Amusement Park - Garuda Mall | Laser Tag | VR Games | Soft Play | Birthday Parties | School Trips | Corporate Party,amusement park,amusement_park | tourist_attraction | point_of_interest | establishment,4.8,,bengaluru,12.9701829,77.60993719999999,0,4.8,39011,{},,0,[],{},,0,[],,0,[],,0,[]
Tipu Sultan's Summer Palace,tourist attraction,tourist_attraction | museum | point_of_interest | establishment,3.9,,bengaluru,12.9593513,77.5736415,0,3.9,31895,"{""history"": 0.68}",history,1,"[""history""]","{""heritage site"": 0.67, ""museum visit"": 0.67}",heritage site | museum visit,2,"[""heritage site"", ""museum visit""]",history,1,"[""history""]",heritage site | museum visit,2,"[""heritage site"", ""museum visit""]"
Bengaluru Fort,tourist attraction,tourist_attraction | point_of_interest | establishment,4.0,,bengaluru,12.9628018,77.5758862,0,4.0,26547,{},,0,[],{},,0,[],,0,[],,0,[]
Sri Karya Siddhi Anjaneya Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.9,,bengaluru,12.9386187,77.54323900000001,0,4.9,26278,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Bugle Rock Park,park,park | tourist_attraction | point_of_interest | establishment,4.5,,bengaluru,12.9427052,77.5694287,0,4.5,25708,"{""nature"": 1.0}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
Ragigudda Sri Prasanna Anjaneya Swamy Temple,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.8,,bengaluru,12.9142864,77.593172,0,4.8,22147,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Snow City Bengaluru,tourist attraction,tourist_attraction | amusement_park | point_of_interest | establishment,4.1,,bengaluru,13.0057596,77.59206089999999,0,4.1,22152,{},,0,[],{},,0,[],,0,[],,0,[]
Karnataka Chitrakala Parishath,art gallery,art_gallery | tourist_attraction | museum | point_of_interest | establishment,4.5,,bengaluru,12.9893213,77.5807437,0,4.5,21355,"{""culture"": 0.85, ""history"": 0.7, ""art"": 1.0}",art | culture | history,3,"[""art"", ""culture"", ""history""]","{""art experience"": 0.79, ""museum visit"": 0.79}",art experience | museum visit,2,"[""art experience"", ""museum visit""]",art | culture | history,3,"[""art"", ""culture"", ""history""]",art experience | museum visit,2,"[""art experience"", ""museum visit""]"
Freedom Park,park,park | tourist_attraction | point_of_interest | establishment,4.2,,bengaluru,12.9779159,77.58218839999999,0,4.2,19865,"{""nature"": 0.96}",nature,1,"[""nature""]",{},,0,[],nature,1,"[""nature""]",,0,[]
"St. Mary's Basilica, Bengaluru",tourist attraction,tourist_attraction | church | place_of_worship | point_of_interest | establishment,4.6,,bengaluru,12.9843925,77.6044189,0,4.6,17427,"{""culture"": 0.82}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
Shrungagiri Sri Shanmukha Swami Gudi,hindu temple,hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment,4.7,,bengaluru,12.9124567,77.5289414,0,4.7,17387,"{""culture"": 1.0}",culture,1,"[""culture""]","{""spiritual stop"": 0.67}",spiritual stop,1,"[""spiritual stop""]",culture,1,"[""culture""]",spiritual stop,1,"[""spiritual stop""]"
