name,category,types,rating,review,city,lat,lng,review_count,review_avg_rating,user_ratings_total
"Lalbagh Botanical Garden","tourist attraction","tourist_attraction | point_of_interest | establishment",4.4,"","bengaluru",12.9494158,77.58468049999999,0,4.4,174721
"ISKCON Bangalore","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",13.0096643,77.5511344,0,4.7,139451
"Bengaluru Palace","tourist attraction","tourist_attraction | museum | point_of_interest | establishment",4.2,"","bengaluru",13.0035068,77.5890953,0,4.2,98628
"SkyJumper Amusement Park - Garuda Mall | Laser Tag | VR Games | Soft Play | Birthday Parties | School Trips | Corporate Party","amusement park","amusement_park | tourist_attraction | point_of_interest | establishment",4.8,"","bengaluru",12.9701829,77.60993719999999,0,4.8,39011
"Tipu Sultan's Summer Palace","tourist attraction","tourist_attraction | museum | point_of_interest | establishment",3.9,"","bengaluru",12.9593513,77.5736415,0,3.9,31895
"Bengaluru Fort","tourist attraction","tourist_attraction | point_of_interest | establishment",4,"","bengaluru",12.9628018,77.5758862,0,4,26547
"Sri Karya Siddhi Anjaneya Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.9,"","bengaluru",12.9386187,77.54323900000001,0,4.9,26278
"Bugle Rock Park","park","park | tourist_attraction | point_of_interest | establishment",4.5,"","bengaluru",12.9427052,77.5694287,0,4.5,25708
"Ragigudda Sri Prasanna Anjaneya Swamy Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.8,"","bengaluru",12.9142864,77.593172,0,4.8,22147
"Snow City Bengaluru","tourist attraction","tourist_attraction | amusement_park | point_of_interest | establishment",4.1,"","bengaluru",13.0057596,77.59206089999999,0,4.1,22152
"Karnataka Chitrakala Parishath","art gallery","art_gallery | tourist_attraction | museum | point_of_interest | establishment",4.5,"","bengaluru",12.9893213,77.5807437,0,4.5,21355
"Freedom Park","park","park | tourist_attraction | point_of_interest | establishment",4.2,"","bengaluru",12.9779159,77.58218839999999,0,4.2,19865
"St. Mary's Basilica, Bengaluru","tourist attraction","tourist_attraction | church | place_of_worship | point_of_interest | establishment",4.6,"","bengaluru",12.9843925,77.6044189,0,4.6,17427
"Shrungagiri Sri Shanmukha Swami Gudi","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9124567,77.5289414,0,4.7,17387
"Visvesvaraya Industrial & Technological Museum","tourist attraction","tourist_attraction | museum | point_of_interest | establishment",4.6,"","bengaluru",12.9751593,77.59641979999999,0,4.6,16394
"M.N. Krishna Rao Park","park","park | tourist_attraction | point_of_interest | establishment",4.5,"","bengaluru",12.9418183,77.5752478,0,4.5,14063
"Shri Gavi Gangadhareshwara Swamy Temple","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9480823,77.56286639999999,0,4.7,12661
"Shri Someshwara Swamy Temple (Halasuru)","hindu temple","hindu_temple | tourist_attraction | place_of_worship | point_of_interest | establishment",4.7,"","bengaluru",12.9755527,77.6239473,0,4.7,12472
"Mini Forest","park","park | tourist_attraction | point_of_interest | establishment",4.4,"","bengaluru",12.9116185,77.5986986,0,4.4,11270
"Indira Gandhi Musical Fountain Park","park","park | tourist_attraction | point_of_interest | establishment",4.1,"","bengaluru",12.9853733,77.59168389999999,0,4.1,11106
"Breakout® Escape Rooms | Koramangala | #1 Escape Room in Bangalore","tourist attraction","tourist_attraction | point_of_interest | establishment",4.7,"","bengaluru",12.938395,77.63059950000002,0,4.7,10324
"Namma Bengaluru Aquarium","aquarium","aquarium | tourist_attraction | point_of_interest | establishment",3.9,"","bengaluru",12.9765148,77.5985397,0,3.9,9674
